engine,total_energy_kj,total_waste_energy_kj,total_requests,mean_joules_per_request,mean_latency_ms,n_cells
frequency_speculative,1911.1703,438.08790000000005,62912,33.578734187082404,97.90181213808464,1796
greedy_prefix_cache,1510.4238899999998,0.0,62912,26.49020495545657,98.40691915367483,1796
no_cache,1671.6086699999998,0.0,62912,29.385372048997773,112.92249376391982,1796
reactive_prefix_cache,1478.96408,0.0,62912,25.95097210467706,97.73743240534522,1796
shadow_kv,1681.07747,265.953,62912,29.489580846325165,93.37088841870823,1796
shadow_kv_plus,1590.3835800000002,185.19509,62912,27.866845601336305,90.80999220489979,1796
shadow_kv_plus_best_latency,1655.6621699999998,238.67134,62912,29.02513312917595,92.79044688195991,1796
shadow_kv_plus_early_layer,512.08499,0.0,9600,53.34219066666667,144.61895199999998,300
shadow_kv_plus_logit_guard,511.89565000000005,0.0,9600,53.322459333333335,144.70763466666665,300
shadow_kv_plus_raw_observer,1601.87775,189.05044,62912,28.073517037861915,91.43527160356348,1796
shadow_kv_plus_scaffold_only,505.71546,0.0,9600,52.678694,144.57658133333334,300
strict_reactive_prefix_cache,1486.2031499999998,0.0,62912,26.062409576837418,96.53693518930957,1796
