engine,mode,count,mean_speedup,mean_hit_rate,mean_waste
no_cache,raw,120,1.0,0.0,0.0
no_cache,templated,120,1.0,0.0,0.0
no_cache,semantic,120,1.0,0.0,0.0
shadow_kv,raw,120,0.9836,0.2283,0.7188
shadow_kv,templated,120,1.253,0.9754,0.0
shadow_kv,semantic,120,1.0184,0.9061,0.0
shadow_kv_plus,raw,120,1.0006,0.0,0.1667
shadow_kv_plus,templated,120,1.2814,0.9844,0.0
shadow_kv_plus,semantic,120,1.0473,0.4368,0.0
shadow_kv_plus_lite,raw,120,0.8005,0.0,0.0
shadow_kv_plus_lite,templated,120,1.0892,0.6,0.0
shadow_kv_plus_lite,semantic,120,0.8692,0.35,0.0
reactive_prefix_cache,raw,120,0.9006,0.0,0.108
reactive_prefix_cache,templated,120,1.1276,0.6,0.0
reactive_prefix_cache,semantic,120,0.9216,0.35,0.003
greedy_prefix_cache,raw,120,0.8706,0.0,0.0
greedy_prefix_cache,templated,120,1.1789,0.6,0.0
greedy_prefix_cache,semantic,120,0.9321,0.35,0.0
strict_reactive_prefix_cache,raw,120,0.9306,0.0,0.035
strict_reactive_prefix_cache,templated,120,1.1789,0.6,0.0
strict_reactive_prefix_cache,semantic,120,0.9425,0.35,0.0
