block_index	model_slug	model	runtime
1	gemma4_e2b	google/gemma-4-E2B-it	vllm_apc
2	gemma4_e4b	google/gemma-4-E4B-it	vllm_apc
3	gemma4_12b	google/gemma-4-12B-it	lmcache_vllm
4	gemma4_12b	google/gemma-4-12B-it	sglang_radix_attention
5	gemma4_26b_a4b	google/gemma-4-26B-A4B-it	vllm_apc
6	gemma4_e4b	google/gemma-4-E4B-it	lmcache_vllm
7	gemma4_31b	google/gemma-4-31B-it	vllm_apc
8	gemma4_26b_a4b	google/gemma-4-26B-A4B-it	sglang_radix_attention
9	gemma4_12b	google/gemma-4-12B-it	vllm_apc
10	gemma4_31b	google/gemma-4-31B-it	sglang_radix_attention
11	gemma4_26b_a4b	google/gemma-4-26B-A4B-it	lmcache_vllm
12	gemma4_31b	google/gemma-4-31B-it	lmcache_vllm
13	gemma4_e2b	google/gemma-4-E2B-it	sglang_radix_attention
14	gemma4_e2b	google/gemma-4-E2B-it	lmcache_vllm
15	gemma4_e4b	google/gemma-4-E4B-it	sglang_radix_attention
