model,prefix_target_tokens,prefix_actual_tokens,warmup_iters,measured_iters,store_latency_mean_ms,store_latency_median_ms,store_latency_p95_ms,probe_latency_mean_ms,probe_latency_median_ms,probe_latency_p95_ms,median_latency_saving_ms,saving_per_cached_token_ms,probe_cached_tokens_mean,probe_cached_tokens_median,probe_vllm_prompt_tokens_cached_mean,probe_vllm_prompt_tokens_cached_median,probe_vllm_prefix_cache_hits_mean,probe_vllm_prefix_cache_hits_median,probe_vllm_prefix_cache_queries_mean,probe_vllm_prefix_cache_queries_median,probe_uncached_tokens_mean,cache_effective
Qwen/Qwen2.5-1.5B-Instruct,8,8,5,20,7.3913092142902315,7.268475368618965,7.8869229182600975,7.240187958814204,7.1699259569868445,7.926397025585175,0.09854941163212061,0.09854941163212061,0.0,0.0,0.0,0.0,0.0,0.0,26.75,27.0,26.75,False
Qwen/Qwen2.5-1.5B-Instruct,16,16,5,20,7.29788972530514,7.178317056968808,7.783900015056133,7.270962558686733,7.171193603426218,8.03976901806891,0.007123453542590141,0.00044521584641188383,0.0,0.0,16.0,16.0,16.0,16.0,33.75,34.0,33.75,True
Qwen/Qwen2.5-1.5B-Instruct,32,32,5,20,7.316412962973118,7.054595509544015,8.76210117712617,7.143560529220849,7.023125537671149,8.008030010387301,0.031469971872866154,0.0009834366210270673,0.0,0.0,32.0,32.0,32.0,32.0,50.0,50.0,50,True
Qwen/Qwen2.5-1.5B-Instruct,48,48,5,20,7.119489007163793,7.022520061582327,8.14083800651133,7.055992470122874,6.984233506955206,7.434425875544548,0.038286554627120495,0.0007976365547316769,0.0,0.0,48.0,48.0,48.0,48.0,66.75,67.0,66.75,True
Qwen/Qwen2.5-1.5B-Instruct,64,64,5,20,7.429677562322468,7.266120985150337,8.674086071550846,7.190727791748941,7.06797547172755,7.833011914044619,0.1981455134227872,0.00309602364723105,0.0,0.0,64.0,64.0,64.0,64.0,82.75,83.0,82.75,True
Qwen/Qwen2.5-1.5B-Instruct,96,96,5,20,7.430564577225596,7.42671696934849,7.89462705142796,7.264032051898539,7.201705011539161,7.889237022027373,0.22501195780932903,0.0023438745605138442,0.0,0.0,96.0,96.0,96.0,96.0,114.5,115.0,114.5,True
Qwen/Qwen2.5-7B-Instruct,8,8,5,20,14.951502333860844,14.852555585093796,15.968187944963574,14.731210167519748,14.596405439078808,15.478672925382853,0.2561501460149884,0.2561501460149884,0.0,0.0,0.0,0.0,0.0,0.0,26.75,27.0,26.75,False
Qwen/Qwen2.5-7B-Instruct,16,16,5,20,14.687706553377211,14.688633033074439,15.331906965002418,14.71583218080923,14.62176803033799,15.546379145234823,0.06686500273644924,0.004179062671028078,0.0,0.0,16.0,16.0,16.0,16.0,34.75,35.0,34.75,True
Qwen/Qwen2.5-7B-Instruct,32,32,5,20,14.886918780393898,14.77251562755555,16.087731812149286,14.89736553048715,14.831129927188158,15.668025938794017,-0.05861429963260889,-0.0018316968635190278,0.0,0.0,32.0,32.0,32.0,32.0,50.75,51.0,50.75,True
Qwen/Qwen2.5-7B-Instruct,48,48,5,20,15.069442405365407,14.868219499476254,16.45487896166742,14.7809520480223,14.729088987223804,15.369637869298458,0.13913051225245,0.002898552338592708,0.0,0.0,48.0,48.0,48.0,48.0,66.75,67.0,66.75,True
Qwen/Qwen2.5-7B-Instruct,64,64,5,20,15.429589687846601,15.32073097769171,16.51157601736486,14.767619024496526,14.718899969011545,15.281933825463057,0.6018310086801648,0.009403609510627575,0.0,0.0,64.0,64.0,64.0,64.0,82.75,83.0,82.75,True
Qwen/Qwen2.5-7B-Instruct,96,96,5,20,15.913927601650357,15.864764573052526,16.742077190428972,15.26413339888677,15.291176037862897,16.090387012809515,0.5735885351896286,0.005974880574891965,0.0,0.0,96.0,96.0,96.0,96.0,114.75,115.0,114.75,True
Qwen/Qwen2.5-32B-Instruct,8,8,5,20,49.721206713002175,49.68914308119565,50.383077934384346,49.835757131222636,49.942533019930124,50.59991287998855,-0.2533899387344718,-0.2533899387344718,0.0,0.0,0.0,0.0,0.0,0.0,26.75,27.0,26.75,False
Qwen/Qwen2.5-32B-Instruct,16,16,5,20,49.63049240177497,49.72940788138658,50.627243937924504,49.44167034700513,49.57443359307945,50.133529119193554,0.15497428830713034,0.009685893019195646,0.0,0.0,16.0,16.0,16.0,16.0,34.75,35.0,34.75,True
Qwen/Qwen2.5-32B-Instruct,32,32,5,20,49.7648119344376,50.083520356565714,50.372496945783496,49.32895262027159,49.255857011303306,50.163524923846126,0.8276633452624083,0.025864479539450258,0.0,0.0,32.0,32.0,32.0,32.0,50.75,51.0,50.75,True
Qwen/Qwen2.5-32B-Instruct,48,48,5,20,49.97458040015772,49.93031907361001,50.5380560643971,49.62129663908854,49.53088646288961,50.268863094970584,0.39943261072039604,0.008321512723341584,0.0,0.0,48.0,48.0,48.0,48.0,66.75,67.0,66.75,True
Qwen/Qwen2.5-32B-Instruct,64,64,5,20,52.358702290803194,52.499978453852236,53.20638092234731,49.49665762251243,49.538300023414195,50.33411388285458,2.9616784304380417,0.0462762254755944,0.0,0.0,64.0,64.0,64.0,64.0,82.75,83.0,82.75,True
Qwen/Qwen2.5-32B-Instruct,96,96,5,20,54.0813256171532,54.0808520745486,54.66881697066128,49.33669875608757,49.25906250718981,49.86401414498687,4.821789567358792,0.05022697465998741,0.0,0.0,96.0,96.0,96.0,96.0,114.0,114.0,114,True
