dataset,mode,baseline,mean_latency_ms,no_cache_mean_latency_ms,mean_latency_reduction_pct_vs_no_cache,p95_latency_reduction_pct_vs_no_cache,gpu_energy_reduction_pct_vs_no_cache,idle_adjusted_energy_reduction_pct_vs_no_cache,joules_per_request_reduction_pct_vs_no_cache,cached_tokens_delta,no_cache_cached_tokens_delta,cache_hit_tokens_ratio_vs_no_cache,admission_selected_preset,admission_bypass_total,admission_allow_total
ag_news,rag,vllm_apc,52.5574826169759,61.70035854484013,14.818189299855899,14.892601086686904,25.761110879928385,28.42425158039883,25.761110879928385,25344.0,0.0,,balanced,0,0
ag_news,rag,vllm_apc_shadowkv_plus,52.27168302371865,61.70035854484013,15.281395025069878,14.75995959031727,26.059018937465144,29.066731325207712,26.059018937465144,25344.0,0.0,,low_latency,1,255
ag_news,templated,vllm_apc,52.830480997727136,60.64299878926249,12.882802545243933,11.973689211220671,24.024557584218034,26.25807328697324,24.024557584218034,22000.0,0.0,,balanced,0,0
ag_news,templated,vllm_apc_shadowkv_plus,52.27566129542538,60.64299878926249,13.797697443878125,12.33665084952137,24.172588103674126,27.177010122313366,24.172588103674126,22000.0,0.0,,low_latency,1,255
daily_dialog,rag,vllm_apc,52.37463638331974,65.38521712172951,19.89835212168464,27.714052389473615,29.595273022740553,30.873463696049257,29.595273022740553,33664.0,0.0,,balanced,0,0
daily_dialog,rag,vllm_apc_shadowkv_plus,52.51388840042637,65.38521712172951,19.685380408449554,27.44749431956425,29.60039065597983,31.311073309184778,29.60039065597983,33664.0,0.0,,low_latency,1,255
daily_dialog,templated,vllm_apc,52.95889851367974,63.38810125635064,16.45293444031979,26.178941826586797,27.359399740183044,29.242503392802913,27.359399740183044,29584.0,0.0,,balanced,0,0
daily_dialog,templated,vllm_apc_shadowkv_plus,52.59931406544638,63.38810125635064,17.020208804287805,26.78457714909843,26.917411458507992,29.485562311546413,26.917411458507992,29584.0,0.0,,low_latency,1,255
dolly,rag,vllm_apc,54.260459346551215,65.77049562292814,17.50030339191245,24.121528483244923,27.50038542612503,29.302581491888724,27.50038542612503,29712.0,0.0,,balanced,0,0
dolly,rag,vllm_apc_shadowkv_plus,53.67793434015766,65.77049562292814,18.385996894563327,24.717212746956537,27.21997236875382,30.040388487618937,27.21997236875382,29712.0,0.0,,low_latency,1,255
dolly,templated,vllm_apc,53.534872606178396,61.734712708130246,13.28238156824201,23.61758556674752,23.495258959235077,25.814194179575384,23.495258959235077,25520.0,0.0,,balanced,0,0
dolly,templated,vllm_apc_shadowkv_plus,53.41663475337555,61.734712708130246,13.47390728791589,23.10592720325181,22.86833772559478,26.234465742477703,22.86833772559478,25520.0,0.0,,low_latency,1,255
samsum,rag,vllm_apc,57.872556146321585,74.7261987580714,22.55386048247156,23.192050875188194,27.078696457170622,28.366585293242743,27.078696457170622,34832.0,0.0,,balanced,0,0
samsum,rag,vllm_apc_shadowkv_plus,57.827352722597425,74.7261987580714,22.61435255148541,23.81240536994083,26.494633324909,27.777278990125993,26.494633324909,34832.0,0.0,,aggressive_prefix,1,255
samsum,templated,vllm_apc,58.67199372914911,72.97476209168963,19.599609443837185,22.337696607680776,24.16361977239055,26.55973611311127,24.16361977239055,30752.0,0.0,,balanced,0,0
samsum,templated,vllm_apc_shadowkv_plus,57.994453869469,72.97476209168963,20.528067228774958,22.963692829582786,24.237451387972385,25.60250298932643,24.237451387972385,30752.0,0.0,,low_latency,1,255
xsum,rag,vllm_apc,79.45844132336788,101.6469521655381,21.828997691967103,6.256724440512737,23.109890813614683,22.65402321826794,23.109890813614683,33424.0,0.0,,balanced,0,0
xsum,rag,vllm_apc_shadowkv_plus,78.36464525462361,101.6469521655381,22.905071342422413,7.533165319760947,22.847241522845884,22.11208303566739,22.847241522845884,33424.0,0.0,,low_latency,1,255
xsum,templated,vllm_apc,79.7644390950154,99.88449476441019,20.143322261228235,4.957296908491507,21.653052855879725,20.712249517375383,21.653052855879725,29376.0,0.0,,balanced,0,0
xsum,templated,vllm_apc_shadowkv_plus,78.58236120773654,99.88449476441019,21.326767089243774,6.430338694746069,21.05173553204616,21.048331768362274,21.05173553204616,29376.0,0.0,,low_latency,1,255
